* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result (A + B) / 2
* Format: Trace Arithmetic result (A + B) / 2
* Dated: Nov 9, 2024 4:21:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A,B average A = Bluelover (Stock M) L B = Bluelover (10ohm, M) S2 L
* Measurement: Bluelover (10ohm AVG, S M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
276.000000, 73.065, 13.9030
280.000000, 73.065, 14.3455
285.000000, 73.066, 14.8823
290.000000, 73.081, 15.4972
295.000000, 73.093, 16.0011
300.000000, 73.101, 16.4934
304.000000, 73.105, 16.9602
307.000000, 73.105, 17.2988
311.000000, 73.106, 17.7016
315.000000, 73.111, 18.0765
320.000000, 73.117, 18.5150
325.000000, 73.115, 18.9570
330.000000, 73.112, 19.4495
335.000000, 73.111, 19.9449
340.000000, 73.109, 20.3924
345.000000, 73.112, 20.8108
350.000000, 73.116, 21.2558
355.000000, 73.114, 21.7167
360.000000, 73.110, 22.1686
365.000000, 73.102, 22.5848
370.000000, 73.094, 22.9748
375.000000, 73.088, 23.3834
382.000000, 73.076, 24.0143
387.000000, 73.068, 24.4284
395.000000, 73.058, 25.0418
400.000000, 73.047, 25.4377
406.000000, 73.033, 25.9942
412.000000, 73.022, 26.5149
418.000000, 73.010, 27.0045
425.000000, 72.989, 27.5473
431.000000, 72.973, 28.0623
437.000000, 72.959, 28.6158
444.000000, 72.944, 29.1803
450.000000, 72.928, 29.6378
455.000000, 72.918, 30.0349
462.000000, 72.902, 30.6215
468.000000, 72.891, 31.1882
475.000000, 72.875, 31.7901
482.000000, 72.851, 32.3436
487.000000, 72.837, 32.7633
494.000000, 72.819, 33.3540
500.000000, 72.800, 33.8855
508.000000, 72.777, 34.5905
515.000000, 72.758, 35.2074
522.000000, 72.739, 35.8664
530.000000, 72.717, 36.5950
538.000000, 72.693, 37.2795
545.000000, 72.671, 37.8843
552.000000, 72.657, 38.5002
560.000000, 72.645, 39.2171
570.000000, 72.626, 40.0659
580.000000, 72.603, 40.9374
590.000000, 72.582, 41.8192
600.000000, 72.558, 42.6819
608.000000, 72.540, 43.4095
615.000000, 72.525, 44.0504
622.000000, 72.509, 44.6525
630.000000, 72.487, 45.3621
640.000000, 72.469, 46.2890
650.000000, 72.455, 47.2131
660.000000, 72.439, 48.1576
670.000000, 72.418, 49.0851
680.000000, 72.399, 50.0017
690.000000, 72.378, 50.9594
700.000000, 72.354, 51.9147
710.000000, 72.332, 52.8972
720.000000, 72.314, 53.9126
730.000000, 72.305, 54.9527
740.000000, 72.303, 55.9858
750.000000, 72.302, 57.0094
762.000000, 72.304, 58.2807
775.000000, 72.312, 59.6301
