* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result (A + B) / 2
* Format: Trace Arithmetic result (A + B) / 2
* Dated: Nov 9, 2024 4:21:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A,B average A = Bluelover (Stock M) L B = Bluelover (10ohm, M) S2 L 
* Measurement: Bluelover (10ohm AVG, S M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
276.000000, 74.408, 13.9030
280.000000, 74.408, 14.3455
285.000000, 74.409, 14.8823
290.000000, 74.424, 15.4972
295.000000, 74.436, 16.0011
300.000000, 74.444, 16.4934
304.000000, 74.448, 16.9602
307.000000, 74.448, 17.2988
311.000000, 74.449, 17.7016
315.000000, 74.454, 18.0765
320.000000, 74.460, 18.5150
325.000000, 74.458, 18.9570
330.000000, 74.455, 19.4495
335.000000, 74.454, 19.9449
340.000000, 74.452, 20.3924
345.000000, 74.455, 20.8108
350.000000, 74.459, 21.2558
355.000000, 74.457, 21.7167
360.000000, 74.453, 22.1686
365.000000, 74.445, 22.5848
370.000000, 74.437, 22.9748
375.000000, 74.431, 23.3834
382.000000, 74.419, 24.0143
387.000000, 74.411, 24.4284
395.000000, 74.401, 25.0418
400.000000, 74.390, 25.4377
406.000000, 74.376, 25.9942
412.000000, 74.365, 26.5149
418.000000, 74.353, 27.0045
425.000000, 74.332, 27.5473
431.000000, 74.316, 28.0623
437.000000, 74.302, 28.6158
444.000000, 74.287, 29.1803
450.000000, 74.271, 29.6378
455.000000, 74.261, 30.0349
462.000000, 74.245, 30.6215
468.000000, 74.234, 31.1882
475.000000, 74.218, 31.7901
482.000000, 74.194, 32.3436
487.000000, 74.180, 32.7633
494.000000, 74.162, 33.3540
500.000000, 74.143, 33.8855
508.000000, 74.120, 34.5905
515.000000, 74.101, 35.2074
522.000000, 74.082, 35.8664
530.000000, 74.060, 36.5950
538.000000, 74.036, 37.2795
545.000000, 74.014, 37.8843
552.000000, 74.000, 38.5002
560.000000, 73.988, 39.2171
570.000000, 73.969, 40.0659
580.000000, 73.946, 40.9374
590.000000, 73.925, 41.8192
600.000000, 73.901, 42.6819
608.000000, 73.883, 43.4095
615.000000, 73.868, 44.0504
622.000000, 73.852, 44.6525
630.000000, 73.830, 45.3621
640.000000, 73.812, 46.2890
650.000000, 73.798, 47.2131
660.000000, 73.782, 48.1576
670.000000, 73.761, 49.0851
680.000000, 73.742, 50.0017
690.000000, 73.721, 50.9594
700.000000, 73.697, 51.9147
710.000000, 73.674, 52.8972
720.000000, 73.657, 53.9126
730.000000, 73.648, 54.9527
740.000000, 73.646, 55.9858
750.000000, 73.645, 57.0094
762.000000, 73.647, 58.2807
775.000000, 73.655, 59.6301
788.000000, 73.665, 60.9892
800.000000, 73.682, 62.1346
812.000000, 73.702, 63.3473
825.000000, 73.729, 64.6950
838.000000, 73.751, 66.0148
850.000000, 73.772, 67.2210
862.000000, 73.804, 68.4196
875.000000, 73.843, 69.7501
885.000000, 73.874, 70.7589
900.000000, 73.928, 72.2630
912.000000, 73.981, 73.4294
925.000000, 74.044, 74.7057
938.000000, 74.105, 75.9694
950.000000, 74.164, 77.0945
962.000000, 74.235, 78.2079
975.000000, 74.321, 79.3691
988.000000, 74.407, 80.4661
1000.000000, 74.489, 81.4727
1015.000000, 74.605, 82.6839
1030.000000, 74.723, 83.7843
1044.000000, 74.830, 84.7882
1060.000000, 74.946, 85.8416
1075.000000, 75.050, 86.7708
1090.000000, 75.151, 87.6805
1106.000000, 75.255, 88.6460
1120.000000, 75.343, 89.4912
1138.000000, 75.463, 90.5892
