* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
905.096680	97.374218
918.261614	97.263381
931.618037	97.186714
945.168733	97.282576
958.916529	97.042331
972.864291	96.989373
987.014928	96.951019
1001.371391	97.030700
1015.936673	97.022553
1030.713812	96.972846
1045.705890	96.922416
1060.916032	96.871253
1076.347412	96.819346
1092.003245	96.766684
1107.886798	96.713466
1124.001383	96.736759
1140.350359	96.760390
1156.937137	96.784365
1173.765175	96.808689
1190.837983	96.822570
1208.159120	96.800352
1225.732199	96.777811
1243.560885	96.754942
1261.648894	96.731741
1280.000000	96.744468
1298.618029	96.887120
1317.506863	97.031846
1336.670442	96.975809
1356.112761	97.075570
1375.837875	97.229955
1395.849898	97.509332
1416.153002	97.570559
1436.751422	97.716062
1457.649452	97.807513
1478.851452	97.865578
1500.361842	97.974857
1522.185107	98.118770
1544.325799	98.404109
1566.788535	98.489863
1589.577999	98.553637
1612.698944	98.813326
1636.156190	98.814066
1659.954630	99.063376
1684.099226	99.070872
1708.595013	99.321051
1733.447100	99.293471
1758.660669	99.421655
1784.240977	99.643559
1810.193360	99.712196
1836.523229	99.893896
1863.236074	99.918818
1890.337467	100.028612
1917.833058	100.158838
1945.728583	100.445972
1974.029857	100.393790
2002.742782	100.693526
2031.873347	100.674870
2061.427625	100.870739
2091.411780	101.118241
2121.832065	101.285820
2152.694823	101.419784
2184.006490	101.539020
2215.773596	101.558793
2248.002765	101.709609
2280.700718	101.828419
2313.874274	102.068350
2347.530351	102.042331
2381.675966	102.200793
2416.318240	102.347957
2451.464399	102.440123
2487.121769	102.619995
2523.297789	102.658107
2560.000000	102.688621
2597.236057	102.724584
2635.013726	102.761069
2673.340883	102.798086
2712.225522	102.835641
2751.675750	102.873742
2791.699796	102.700789
2832.306004	102.630824
2873.502844	102.460486
2915.298905	102.433091
2957.702904	102.084103
3000.723683	102.072322
3044.370214	101.811629
3088.651599	101.365060
3133.577071	101.096214
3179.155999	101.000535
3225.397888	100.687998
3272.312380	100.217180
3319.909260	99.873047
