* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
207.494329	107.017895
210.512403	107.004684
213.574377	106.991281
216.680888	106.977683
219.832584	106.963887
223.030122	106.949890
226.274170	106.935690
229.565404	106.921283
232.904509	106.906667
236.292183	106.874029
239.729132	106.837270
243.216073	106.799977
246.753732	106.770531
250.342848	106.748931
253.984168	106.727018
257.678453	106.704785
261.426473	106.682229
265.229008	106.659345
269.086853	106.648011
273.000811	106.636980
276.971700	106.625788
281.000346	106.614434
285.087590	106.602915
289.234284	106.591228
293.441294	106.579371
297.709496	106.567342
302.039780	106.555138
306.433050	106.542756
310.890221	106.531646
315.412224	106.522308
320.000000	106.512834
324.654507	106.503223
329.376716	106.493471
334.167610	106.483578
339.028190	106.473541
343.959469	106.463358
348.962474	106.453027
354.038251	106.442545
359.187855	106.431911
364.412363	106.421123
369.712863	106.415332
375.090460	106.426247
380.546277	106.437322
386.081450	106.448558
391.697134	106.459957
397.394500	106.471522
403.174736	106.483255
409.039048	106.495159
414.988657	106.507236
421.024807	106.519488
427.148753	106.531919
433.361775	106.549276
439.665167	106.568888
446.060244	106.588786
452.548340	106.608974
459.130807	106.629455
465.809019	106.650234
472.584367	106.684976
479.458265	106.729123
486.432146	106.773911
493.507464	106.817859
500.685695	106.862151
507.968337	106.906973
515.356906	106.950774
522.852945	106.995212
530.458016	107.031417
538.173706	107.046550
546.001623	107.061903
553.943399	107.077479
562.000691	107.093282
570.175180	107.109315
578.468569	107.125581
586.882588	107.142083
595.418991	107.156820
604.079560	107.169999
612.866100	107.183370
621.780442	107.196936
630.824447	107.210698
640.000000	107.224661
649.309014	107.238827
658.753431	107.253199
668.335221	107.267780
678.056380	107.279933
687.918938	107.290916
697.924949	107.302059
708.076501	107.313365
718.375711	107.324835
728.824726	107.336471
739.425726	107.348277
750.180921	107.360255
761.092554	107.372406
772.162900	107.384735
783.394268	107.397297
794.789000	107.410400
806.349472	107.423694
818.078095	107.437181
829.977315	107.450865
842.049613	107.464747
854.297507	107.478831
866.723550	107.493120
879.330334	107.507617
892.120489	107.527950
905.096680	107.564409
918.261614	107.601399
931.618037	107.638926
945.168733	107.710198
958.916529	107.794410
972.864291	107.891445
987.014928	107.918531
1001.371391	107.946012
1015.936673	107.973891
1030.713812	108.002177
1045.705890	108.041797
1060.916032	108.086023
1076.347412	108.130891
1092.003245	108.203276
1107.886798	108.277297
1124.001383	108.351138
1140.350359	108.448473
1156.937137	108.539778
1173.765175	108.613862
1190.837983	108.671441
1208.159120	108.727051
1225.732199	108.818281
1243.560885	108.899197
1261.648894	108.954547
1280.000000	109.006575
1298.618029	109.050538
1317.506863	109.095141
1336.670442	109.155696
1356.112761	109.229804
1375.837875	109.286943
1395.849898	109.342572
1416.153002	109.397818
1436.751422	109.453272
1457.649452	109.517095
1478.851452	109.591100
1500.361842	109.694070
1522.185107	109.845718
1544.325799	109.790696
1566.788535	109.734875
1589.577999	109.769462
1612.698944	109.813801
1636.156190	109.862595
1659.954630	109.936265
1684.099226	109.996102
1708.595013	110.040163
1733.447100	110.084865
1758.660669	110.175923
1784.240977	110.264683
1810.193360	110.338841
1836.523229	110.412413
1863.236074	110.486455
1890.337467	110.560264
1917.833058	110.656530
1945.728583	110.767347
1974.029857	110.921329
2002.742782	111.050464
2031.873347	111.222761
2061.427625	111.340581
2091.411780	111.505703
2121.832065	111.660946
2152.694823	111.788826
2184.006490	111.961111
2215.773596	112.074664
2248.002765	112.221868
2280.700718	112.354891
2313.874274	112.499318
2347.530351	112.699461
2381.675966	112.810349
2416.318240	112.921215
2451.464399	113.031948
2487.121769	113.204094
2523.297789	113.314961
2560.000000	113.425848
2597.236057	113.536731
2635.013726	113.610711
2673.340883	113.684713
2712.225522	113.758582
2751.675750	113.812688
2791.699796	113.856869
2832.306004	113.901692
2873.502844	113.923911
2915.298905	113.943577
2957.702904	113.963528
3000.723683	113.983770
3044.370214	114.004306
3088.651599	114.025141
3133.577071	113.880306
3179.155999	113.774250
3225.397888	113.700588
3272.312380	113.626686
3319.909260	113.552664
3368.198452	113.449104
3417.190027	113.338322
3466.894200	113.227521
3517.321337	113.063444
3568.481954	112.944355
3620.386720	112.863914
3673.046457	112.784128
3726.472148	112.674879
3780.674934	112.601308
3835.666117	112.534414
3891.457165	112.479189
3948.059713	112.423453
4005.485564	112.368401
4063.746693	112.312548
4122.855250	112.239960
4182.823560	112.165929
4243.664130	112.092103
4305.389646	112.018310
4368.012981	111.944124
4431.547192	111.870570
4496.005531	111.785600
4561.401437	111.674729
4627.748549	111.555129
4695.060701	111.411218
4763.351932	111.337135
4832.636481	111.231497
4902.928797	111.120725
4974.243539	111.009933
5046.595577	111.017339
5120.000000	111.128168
5194.472115	111.217797
5270.027452	111.261759
5346.681766	111.306361
5424.451043	111.350637
5503.351500	111.394745
5583.399591	111.439494
5664.612008	111.302430
5747.005687	111.191547
5830.597810	111.080644
5915.405808	110.969909
6001.447367	110.859161
6088.740429	110.748395
6177.303198	110.637609
6267.154142	110.468513
6358.311998	110.579267
6450.795775	110.751371
6544.624761	110.889300
6639.818520	111.110963
6736.396904	111.455514
6834.380053	111.781732
6933.788400	112.267241
7034.642675	112.734562
7136.963909	113.079072
7240.773439	113.300735
7346.092914	113.522315
7452.944296	113.743798
7561.349867	113.601993
7671.332234	113.459386
7782.914330	113.281495
7896.119426	113.059869
8010.971128	112.838443
8127.493386	112.370924
8245.710500	111.743374
8365.647121	111.163753
8487.328260	110.386644
8610.779292	109.868907
8736.025961	109.414984
8863.094385	108.789954
8992.011061	108.410172
9122.802874	108.853488
9255.497097	109.296624
9390.121402	109.796207
9526.703863	110.017851
9665.272962	110.485232
9805.857594	110.824132
9948.487077	111.237499
10093.191154	111.135156
10240.000000	110.868371
10388.944230	110.568774
10540.054903	110.347084
10693.363532	109.784217
10848.902086	109.146667
11006.703001	108.604610
11166.799182	108.121112
11329.224017	108.011101
11494.011375	107.899490
11661.195620	107.925841
11830.811616	107.970167
